src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57064,502,0,0,5,0,160,0,5.906958,32.0,0,32,0,32,0,0.0,0,1.4767395,0,1.372286,0,1.521621,0,0.06078458969385250362200115573,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57065,502,0,0,4,0,128,0,5.906967,32.0,0,32,0,32,0,0.0,0,1.968989,0,1.512978,0,2.872414,0,0.6388275850185765629284164193,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57066,502,0,0,3,0,96,0,3.034659,32.0,0,32,0,32,0,0.0,0,1.5173295,0,1.513107,0,1.521552,0,0.0042225,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57067,502,0,0,3,0,96,0,3.034665,32.0,0,32,0,32,0,0.0,0,1.5173325,0,1.513107,0,1.521558,0,0.0042255,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57068,502,0,0,5,0,160,0,5.906947,32.0,0,32,0,32,0,0.0,0,1.47673675,0,1.372302,0,1.521443,0,0.06077316976419363959783042742,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57069,502,0,0,4,0,128,0,5.906967,32.0,0,32,0,32,0,0.0,0,1.968989,0,1.513020,0,2.872405,0,0.6388210536673526594162724742,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57071,502,0,0,4,0,128,0,5.907017,32.0,0,32,0,32,0,0.0,0,1.969005666666666666666666667,0,1.512759,0,2.872437,0,0.6388331344450512210680186006,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57072,502,0,0,4,0,128,0,5.907016,32.0,0,32,0,32,0,0.0,0,1.969005333333333333333333333,0,1.512734,0,2.872440,0,0.6388356004572346589220231484,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57070,502,0,0,5,0,160,0,5.906819,32.0,0,32,0,32,0,0.0,0,1.47670475,0,1.372200,0,1.521628,0,0.06081808512841801072418520348,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57073,502,0,0,4,0,128,0,5.906965,32.0,0,32,0,32,0,0.0,0,1.968988333333333333333333333,0,1.512577,0,2.872518,0,0.6389032184780066950038942794,0
